description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in Australia from: 27 May 2023 to: 07 Jun 2023.,Green,1,0.5,Australia,27/05/2023,7/06/2023,6485,AUS,WF 1014571,0,11,130.4464183,-14.79806648
Green Forest fires in Australia from: 30 May 2023 to: 07 Jun 2023.,Green,1,0.5,Australia,30/05/2023,7/06/2023,8503,AUS,WF 1014579,0,8,132.0406478,-18.72853098
Green Forest fires in Australia from: 31 May 2023 to: 07 Jun 2023.,Green,1,0.5,Australia,31/05/2023,7/06/2023,11996,AUS,WF 1014935,0,7,126.6093187,-14.94370125
Green Forest fires in Australia from: 18 May 2023 to: 06 Jun 2023.,Green,1,0.5,Australia,18/05/2023,6/06/2023,48684,AUS,WF 1014332,0,19,131.6255995,-19.08718534
Green Forest fires in Australia from: 27 Jun 2023 to: 13 Jul 2023.,Green,1,0.5,Australia,27/06/2023,13/07/2023,6660,AUS,WF 1015650,0,16,142.6120961,-12.23865764
Green Forest fires in Australia from: 30 Jun 2023 to: 13 Jul 2023.,Green,1,0.5,Australia,30/06/2023,13/07/2023,6208,AUS,WF 1015701,0,13,142.1090192,-13.91437837
Green Forest fires in Australia from: 28 Jul 2023 to: 16 Aug 2023.,Green,1,0.5,Australia,28/07/2023,16/08/2023,31580,AUS,WF 1016031,0,19,121.879514,-18.9015041
Green Forest fires in Australia from: 28 Jul 2023 to: 15 Aug 2023.,Green,1,0.5,Australia,28/07/2023,15/08/2023,8841,AUS,WF 1016057,0,18,130.3303381,-11.42014034
Green Forest fires in Australia from: 28 Jul 2023 to: 14 Aug 2023.,Green,1,0.5,Australia,28/07/2023,14/08/2023,11455,AUS,WF 1016215,1,17,130.785207,-11.41065469
Green Forest fires in Australia from: 31 Jul 2023 to: 11 Aug 2023.,Green,1,0.5,Australia,31/07/2023,11/08/2023,13351,AUS,WF 1016177,0,11,133.5468839,-19.18396958
Green Forest fires in Australia from: 28 Jul 2023 to: 10 Aug 2023.,Green,1,0.5,Australia,28/07/2023,10/08/2023,6575,AUS,WF 1016152,0,13,131.9370966,-12.53860595
Green Forest fires in Australia from: 31 Aug 2023 to: 14 Sep 2023.,Green,1,0.5,Australia,31/08/2023,14/09/2023,14871,AUS,WF 1017026,0,14,135.7999888,-16.85337968
Green Forest fires in Australia from: 30 Aug 2023 to: 13 Sep 2023.,Green,1,0.5,Australia,30/08/2023,13/09/2023,36650,AUS,WF 1017036,0,14,128.1739034,-17.26238583
Green Forest fires in Australia from: 28 Aug 2023 to: 11 Sep 2023.,Green,1,0.5,Australia,28/08/2023,11/09/2023,51284,AUS,WF 1017063,0,14,135.5287187,-19.57883097
Green Forest fires in Australia from: 27 Aug 2023 to: 11 Sep 2023.,Green,1,0.5,Australia,27/08/2023,11/09/2023,24623,AUS,WF 1017070,0,15,125.9043407,-16.91322882
Green Forest fires in Australia from: 30 Aug 2023 to: 11 Sep 2023.,Green,1,0.5,Australia,30/08/2023,11/09/2023,12578,AUS,WF 1017034,0,12,133.8160208,-11.79422735
Green Forest fires in Australia from: 30 Aug 2023 to: 10 Sep 2023.,Green,1,0.5,Australia,30/08/2023,10/09/2023,99404,AUS,WF 1017038,1,11,137.8045167,-17.57201018
Green Forest fires in Australia from: 31 Aug 2023 to: 10 Sep 2023.,Green,1,0.5,Australia,31/08/2023,10/09/2023,67048,AUS,WF 1017030,0,10,135.5531928,-19.89077506
Green Forest fires in Australia from: 26 Aug 2023 to: 10 Sep 2023.,Green,1,0.5,Australia,26/08/2023,10/09/2023,12003,AUS,WF 1017148,0,15,130.9699954,-14.34961997
Green Forest fires in Australia from: 28 Aug 2023 to: 09 Sep 2023.,Green,1,0.5,Australia,28/08/2023,9/09/2023,9793,AUS,WF 1017053,0,12,142.0087169,-13.23737318
Green Forest fires in Australia from: 25 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,25/08/2023,8/09/2023,7772,AUS,WF 1017110,0,14,135.334332,-12.29126294
Green Forest fires in Australia from: 28 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,28/08/2023,8/09/2023,9442,AUS,WF 1017161,0,11,133.0656727,-11.72565523
Green Forest fires in Australia from: 25 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,25/08/2023,8/09/2023,6061,AUS,WF 1017162,0,14,133.6336202,-11.99245834
Green Forest fires in Australia from: 27 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,27/08/2023,8/09/2023,11035,AUS,WF 1017065,0,12,125.3555411,-17.50620291
Green Forest fires in Australia from: 27 Aug 2023 to: 08 Sep 2023.,Green,1,0.5,Australia,27/08/2023,8/09/2023,9141,AUS,WF 1017067,0,12,132.4485136,-11.41705686
Green Forest fires in Australia from: 27 Aug 2023 to: 07 Sep 2023.,Green,1,0.5,Australia,27/08/2023,7/09/2023,7032,AUS,WF 1017109,0,11,133.6841034,-19.20703721
Green Forest fires in Australia from: 30 Aug 2023 to: 07 Sep 2023.,Green,1,0.5,Australia,30/08/2023,7/09/2023,5846,AUS,WF 1017102,0,8,133.0387087,-14.2448818
Green Forest fires in Australia from: 26 Aug 2023 to: 07 Sep 2023.,Green,1,0.5,Australia,26/08/2023,7/09/2023,15235,AUS,WF 1017088,0,12,131.4024814,-15.53179333
Green Forest fires in Australia from: 23 Aug 2023 to: 07 Sep 2023.,Green,1,0.5,Australia,23/08/2023,7/09/2023,15477,AUS,WF 1016727,0,15,133.7514878,-18.91925977
Green Forest fires in Australia from: 29 Aug 2023 to: 06 Sep 2023.,Green,1,0.5,Australia,29/08/2023,6/09/2023,7639,AUS,WF 1017042,0,8,142.8234607,-12.83512055
Green Forest fires in Australia from: 27 Aug 2023 to: 06 Sep 2023.,Green,1,0.5,Australia,27/08/2023,6/09/2023,9140,AUS,WF 1017108,0,10,142.6796739,-12.03449498
Green Forest fires in Australia from: 25 Aug 2023 to: 06 Sep 2023.,Green,1,0.5,Australia,25/08/2023,6/09/2023,15152,AUS,WF 1017100,0,12,131.1587148,-11.54959056
Green Forest fires in Australia from: 29 Aug 2023 to: 06 Sep 2023.,Green,1,0.5,Australia,29/08/2023,6/09/2023,15017,AUS,WF 1017048,0,8,135.9758344,-16.8551171
Green Forest fires in Australia from: 29 Aug 2023 to: 06 Sep 2023.,Green,1,0.5,Australia,29/08/2023,6/09/2023,5008,AUS,WF 1017159,0,8,141.8301039,-12.96119923
Green Forest fires in Australia from: 22 Aug 2023 to: 06 Sep 2023.,Green,1,0.5,Australia,22/08/2023,6/09/2023,6395,AUS,WF 1017122,0,15,132.546161,-13.67143419
Green Forest fires in Australia from: 21 Aug 2023 to: 05 Sep 2023.,Green,1,0.5,Australia,21/08/2023,5/09/2023,16205,AUS,WF 1017126,0,15,134.6926157,-12.19266749
Green Forest fires in Australia from: 26 Aug 2023 to: 05 Sep 2023.,Green,1,0.5,Australia,26/08/2023,5/09/2023,6966,AUS,WF 1017083,0,10,133.1666772,-15.05811848
Green Forest fires in Australia from: 31 Aug 2023 to: 05 Sep 2023.,Green,1,0.5,Australia,31/08/2023,5/09/2023,7025,AUS,WF 1017024,0,5,126.5213249,-20.24626662
Green Forest fires in Australia from: 31 Aug 2023 to: 05 Sep 2023.,Green,1,0.5,Australia,31/08/2023,5/09/2023,9808,AUS,WF 1017025,0,5,135.8466448,-16.69681754
Green Forest fires in Australia from: 31 Aug 2023 to: 05 Sep 2023.,Green,1,0.5,Australia,31/08/2023,5/09/2023,6952,AUS,WF 1017021,0,5,130.4959312,-18.19680425
Green Forest fires in Australia from: 22 Aug 2023 to: 05 Sep 2023.,Green,1,0.5,Australia,22/08/2023,5/09/2023,28050,AUS,WF 1016732,0,14,138.1735906,-17.67796123
Green Forest fires in Australia from: 30 Sep 2023 to: 15 Oct 2023.,Green,1,0.5,Australia,30/09/2023,15/10/2023,15838,AUS,WF 1017745,0,15,143.5129982,-14.32323048
Green Forest fires in Australia from: 28 Sep 2023 to: 13 Oct 2023.,Green,1,0.5,Australia,28/09/2023,13/10/2023,27590,AUS,WF 1017580,0,15,138.0060654,-18.076419
Green Forest fires in Australia from: 28 Sep 2023 to: 12 Oct 2023.,Green,1,0.5,Australia,28/09/2023,12/10/2023,12700,AUS,WF 1017606,0,14,136.6228842,-16.78239908
Green Forest fires in Australia from: 30 Sep 2023 to: 11 Oct 2023.,Green,1,0.5,Australia,30/09/2023,11/10/2023,18466,AUS,WF 1017650,0,11,123.9224549,-16.6610467
Green Forest fires in Australia from: 30 Sep 2023 to: 11 Oct 2023.,Green,1,0.5,Australia,30/09/2023,11/10/2023,43713,AUS,WF 1017621,0,11,131.5120339,-22.27666637
Green Forest fires in Australia from: 28 Sep 2023 to: 11 Oct 2023.,Green,1,0.5,Australia,28/09/2023,11/10/2023,12294,AUS,WF 1017681,0,13,137.6719148,-18.2491833
Green Forest fires in Australia from: 26 Sep 2023 to: 09 Oct 2023.,Green,1,0.5,Australia,26/09/2023,9/10/2023,33101,AUS,WF 1017566,0,13,137.8360616,-18.30826408
Green Forest fires in Australia from: 25 Sep 2023 to: 09 Oct 2023.,Green,1,0.5,Australia,25/09/2023,9/10/2023,56740,AUS,WF 1017524,0,14,137.4317235,-18.52028377
Green Forest fires in Australia from: 25 Sep 2023 to: 09 Oct 2023.,Green,1,0.5,Australia,25/09/2023,9/10/2023,11067,AUS,WF 1017655,0,14,137.7643391,-17.71961382
Green Forest fires in Australia from: 26 Sep 2023 to: 08 Oct 2023.,Green,1,0.5,Australia,26/09/2023,8/10/2023,60120,AUS,WF 1017563,11,12,135.1194513,-16.35737374
Green Forest fires in Australia from: 30 Sep 2023 to: 08 Oct 2023.,Green,1,0.5,Australia,30/09/2023,8/10/2023,16908,AUS,WF 1017605,0,8,131.8236886,-15.9360832
Green Forest fires in Australia from: 28 Sep 2023 to: 08 Oct 2023.,Green,1,0.5,Australia,28/09/2023,8/10/2023,15365,AUS,WF 1017711,3,10,125.8199694,-17.46045865
Green Forest fires in Australia from: 22 Sep 2023 to: 07 Oct 2023.,Green,1,0.5,Australia,22/09/2023,7/10/2023,15061,AUS,WF 1017451,0,15,143.0913764,-13.47371532
Green Forest fires in Australia from: 28 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,28/09/2023,6/10/2023,33843,AUS,WF 1017589,0,8,131.9634897,-22.0255559
Green Forest fires in Australia from: 29 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,29/09/2023,6/10/2023,60798,AUS,WF 1017577,0,7,136.7906183,-18.30854689
Green Forest fires in Australia from: 27 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,27/09/2023,6/10/2023,24543,AUS,WF 1017608,0,9,135.6185817,-20.87676124
Green Forest fires in Australia from: 21 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,21/09/2023,6/10/2023,30627,AUS,WF 1017429,0,15,137.8881461,-18.51239243
Green Forest fires in Australia from: 26 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,26/09/2023,6/10/2023,11162,AUS,WF 1017654,0,10,133.7310376,-22.91806207
Green Forest fires in Australia from: 21 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,21/09/2023,6/10/2023,5404,AUS,WF 1017613,0,15,133.9599045,-11.9418656
Green Forest fires in Australia from: 30 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,30/09/2023,6/10/2023,30180,AUS,WF 1017618,0,6,132.5694789,-22.47838317
Green Forest fires in Australia from: 28 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,28/09/2023,6/10/2023,20999,AUS,WF 1017623,0,8,137.1906712,-18.38817775
Green Forest fires in Australia from: 29 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,29/09/2023,6/10/2023,5516,AUS,WF 1017710,0,7,135.3448067,-20.79503857
Green Forest fires in Australia from: 26 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,26/09/2023,6/10/2023,10453,AUS,WF 1017683,0,10,128.9448634,-18.9624542
Green Forest fires in Australia from: 23 Sep 2023 to: 06 Oct 2023.,Green,1,0.5,Australia,23/09/2023,6/10/2023,7545,AUS,WF 1017684,0,13,135.8009931,-12.87292137
Green Forest fires in Australia from: 20 Sep 2023 to: 05 Oct 2023.,Green,1,0.5,Australia,20/09/2023,5/10/2023,7063,AUS,WF 1017685,0,15,142.9502555,-12.41995819
Green Forest fires in Australia from: 28 Sep 2023 to: 05 Oct 2023.,Green,1,0.5,Australia,28/09/2023,5/10/2023,6878,AUS,WF 1017682,1,7,130.7631933,-15.67443983
Green Forest fires in Australia from: 30 Sep 2023 to: 05 Oct 2023.,Green,1,0.5,Australia,30/09/2023,5/10/2023,51984,AUS,WF 1017649,0,5,124.4721346,-19.22009649
Green Forest fires in Australia from: 27 Sep 2023 to: 05 Oct 2023.,Green,1,0.5,Australia,27/09/2023,5/10/2023,18449,AUS,WF 1017590,0,8,130.6378354,-16.38087832
Green Forest fires in Australia from: 23 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,23/09/2023,4/10/2023,14704,AUS,WF 1017506,0,11,128.6827844,-16.0867227
Green Forest fires in Australia from: 20 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,20/09/2023,4/10/2023,15576,AUS,WF 1017458,0,14,130.2201236,-16.79068489
Green Forest fires in Australia from: 21 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,21/09/2023,4/10/2023,33340,AUS,WF 1017489,0,13,130.8734278,-16.27937654
Green Forest fires in Australia from: 27 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,27/09/2023,4/10/2023,16191,AUS,WF 1017564,0,7,130.4809052,-16.23425956
Green Forest fires in Australia from: 25 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,25/09/2023,4/10/2023,16441,AUS,WF 1017593,0,9,135.8265986,-20.80858783
Green Forest fires in Australia from: 30 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,30/09/2023,4/10/2023,5288,AUS,WF 1017675,0,4,135.4062626,-20.89557267
Green Forest fires in Australia from: 30 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,30/09/2023,4/10/2023,7321,AUS,WF 1017646,0,4,135.5383942,-20.87033378
Green Forest fires in Australia from: 30 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,30/09/2023,4/10/2023,6633,AUS,WF 1017647,3,4,117.656975,-22.20755815
Green Forest fires in Australia from: 30 Sep 2023 to: 04 Oct 2023.,Green,1,0.5,Australia,30/09/2023,4/10/2023,6258,AUS,WF 1017648,0,4,134.4742462,-12.89048667
Green Forest fires in Australia from: 18 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,18/09/2023,3/10/2023,5598,AUS,WF 1017627,0,15,142.1557956,-11.2843789
Green Forest fires in Australia from: 30 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,30/09/2023,3/10/2023,6014,AUS,WF 1017619,0,3,142.0509244,-18.32151531
Green Forest fires in Australia from: 28 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,28/09/2023,3/10/2023,18156,AUS,WF 1017622,0,5,129.4597544,-15.82840826
Green Forest fires in Australia from: 30 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,30/09/2023,3/10/2023,11066,AUS,WF 1017617,0,3,123.9835926,-17.55888512
Green Forest fires in Australia from: 28 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,28/09/2023,3/10/2023,7661,AUS,WF 1017578,0,5,137.6766081,-18.43234833
Green Forest fires in Australia from: 30 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,30/09/2023,3/10/2023,8069,AUS,WF 1017604,0,3,137.488953,-18.41931237
Green Forest fires in Australia from: 26 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,26/09/2023,3/10/2023,11010,AUS,WF 1017581,0,7,130.6569637,-16.167655
Green Forest fires in Australia from: 24 Sep 2023 to: 03 Oct 2023.,Green,1,0.5,Australia,24/09/2023,3/10/2023,16538,AUS,WF 1017549,0,9,132.3207973,-23.66096335
Green Forest fires in Australia from: 30 Oct 2023 to: 08 Nov 2023.,Green,1,0.5,Australia,30/10/2023,8/11/2023,5821,AUS,WF 1018411,0,9,138.829991,-19.8653377
Green Forest fires in Australia from: 29 Oct 2023 to: 06 Nov 2023.,Green,1,0.5,Australia,29/10/2023,6/11/2023,9928,AUS,WF 1018358,0,8,141.9619103,-19.33431391
Green Forest fires in Australia from: 23 Oct 2023 to: 06 Nov 2023.,Green,1,0.5,Australia,23/10/2023,6/11/2023,70037,AUS,WF 1018157,0,14,142.0966249,-19.37276406
Green Forest fires in Australia from: 30 Oct 2023 to: 05 Nov 2023.,Green,1,0.5,Australia,30/10/2023,5/11/2023,6452,AUS,WF 1018357,0,6,117.0210348,-21.9466615
Green Forest fires in Australia from: 20 Oct 2023 to: 04 Nov 2023.,Green,1,0.5,Australia,20/10/2023,4/11/2023,8435,AUS,WF 1018295,0,15,142.5564851,-13.53540281
Green Forest fires in Australia from: 19 Oct 2023 to: 03 Nov 2023.,Green,1,0.5,Australia,19/10/2023,3/11/2023,102753,AUS,WF 1018042,8,15,139.1919174,-20.15425731
Green Forest fires in Australia from: 25 Oct 2023 to: 03 Nov 2023.,Green,1,0.5,Australia,25/10/2023,3/11/2023,10060,AUS,WF 1018292,0,9,126.3735691,-20.23506759
Green Forest fires in Australia from: 29 Oct 2023 to: 03 Nov 2023.,Green,1,0.5,Australia,29/10/2023,3/11/2023,15415,AUS,WF 1018284,0,5,117.081171,-21.99155589
Green Forest fires in Australia from: 24 Oct 2023 to: 03 Nov 2023.,Green,1,0.5,Australia,24/10/2023,3/11/2023,27699,AUS,WF 1018267,0,10,126.4370219,-20.76192494
Green Forest fires in Australia from: 24 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,24/10/2023,2/11/2023,8301,AUS,WF 1018263,0,9,131.199646,-17.95944156
Green Forest fires in Australia from: 25 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,25/10/2023,2/11/2023,9027,AUS,WF 1018257,0,8,126.8197119,-18.43652883
Green Forest fires in Australia from: 28 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,28/10/2023,2/11/2023,7390,AUS,WF 1018285,0,5,131.7193746,-19.60116402
Green Forest fires in Australia from: 31 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,31/10/2023,2/11/2023,9246,AUS,WF 1018296,51,2,151.9612691,-28.42994813
Green Forest fires in Australia from: 27 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,27/10/2023,2/11/2023,5555,AUS,WF 1018303,5,6,152.0106772,-29.3835773
Green Forest fires in Australia from: 26 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,26/10/2023,2/11/2023,5962,AUS,WF 1018304,8,7,151.839814,-28.99466922
Green Forest fires in Australia from: 26 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,26/10/2023,2/11/2023,7563,AUS,WF 1018305,23,7,151.8379106,-29.075039
Green Forest fires in Australia from: 26 Oct 2023 to: 02 Nov 2023.,Green,1,0.5,Australia,26/10/2023,2/11/2023,9347,AUS,WF 1018306,40,7,151.9974036,-29.16785719
Green Forest fires in Australia from: 26 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,26/10/2023,1/11/2023,10413,AUS,WF 1018307,367,6,151.9012446,-28.91092222
Green Forest fires in Australia from: 28 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,28/10/2023,1/11/2023,6431,AUS,WF 1018301,0,4,129.6867726,-19.65300445
Green Forest fires in Australia from: 24 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,24/10/2023,1/11/2023,7765,AUS,WF 1018310,0,8,130.0632277,-20.59596904
Green Forest fires in Australia from: 25 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,25/10/2023,1/11/2023,5366,AUS,WF 1018291,0,7,132.7049613,-18.86806655
Green Forest fires in Australia from: 26 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,26/10/2023,1/11/2023,8829,AUS,WF 1018255,0,6,131.3234444,-22.93255921
Green Forest fires in Australia from: 26 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,26/10/2023,1/11/2023,13268,AUS,WF 1018272,0,6,131.5557863,-22.86143038
Green Forest fires in Australia from: 26 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,26/10/2023,1/11/2023,57116,AUS,WF 1018274,0,6,130.6884748,-23.00617509
Green Forest fires in Australia from: 25 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,25/10/2023,1/11/2023,24044,AUS,WF 1018276,0,7,126.9474917,-18.28371677
Green Forest fires in Australia from: 30 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,30/10/2023,1/11/2023,8206,AUS,WF 1018280,0,2,144.3661434,-20.50281146
Green Forest fires in Australia from: 25 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,25/10/2023,1/11/2023,22951,AUS,WF 1018234,0,7,131.9646182,-19.7997972
Green Forest fires in Australia from: 27 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,27/10/2023,1/11/2023,12857,AUS,WF 1018202,4,5,149.6862918,-23.82031154
Green Forest fires in Australia from: 26 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,26/10/2023,1/11/2023,15153,AUS,WF 1018221,76,6,151.6697209,-24.4567684
Green Forest fires in Australia from: 25 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,25/10/2023,1/11/2023,23795,AUS,WF 1018183,0,7,130.8922441,-19.90374094
Green Forest fires in Australia from: 23 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,23/10/2023,1/11/2023,24104,AUS,WF 1018127,0,9,132.0435952,-22.74216473
Green Forest fires in Australia from: 20 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,20/10/2023,1/11/2023,20489,AUS,WF 1018138,0,12,133.6026413,-20.06876964
Green Forest fires in Australia from: 23 Oct 2023 to: 01 Nov 2023.,Green,1,0.5,Australia,23/10/2023,1/11/2023,26965,AUS,WF 1018098,548,9,150.4925451,-27.09182997
Green Forest fires in Australia from: 30 Oct 2023 to: 31 Oct 2023.,Green,1,0.5,Australia,30/10/2023,31/10/2023,6299,AUS,WF 1018279,0,1,130.1649212,-20.59657375
Green Forest fires in Australia from: 25 Oct 2023 to: 31 Oct 2023.,Green,1,0.5,Australia,25/10/2023,31/10/2023,6675,AUS,WF 1018278,0,6,129.6688539,-19.44803491
Green Forest fires in Australia from: 25 Oct 2023 to: 31 Oct 2023.,Green,1,0.5,Australia,25/10/2023,31/10/2023,10978,AUS,WF 1018275,0,6,128.9273389,-17.58539398
